group;sensor;time;hash
C;1;0;C-1-0
C;1;5;C-1-5
C;1;10;C-1-10
C;1;15;C-1-15
C;1;20;C-1-20
C;1;25;C-1-25
C;1;30;C-1-30
C;15;0;C-15-0
C;15;5;C-15-5
C;15;10;C-15-10
C;15;15;C-15-15
C;15;20;C-15-20
C;15;25;C-15-25
C;15;30;C-15-30
C;2;0;C-2-0
C;2;5;C-2-5
C;2;10;C-2-10
C;2;15;C-2-15
C;2;20;C-2-20
C;2;25;C-2-25
C;2;30;C-2-30
T;4;0;T-4-0
T;4;5;T-4-5
T;4;10;T-4-10
T;4;15;T-4-15
T;4;20;T-4-20
T;4;25;T-4-25
T;4;30;T-4-30
T;5;0;T-5-0
T;5;5;T-5-5
T;5;10;T-5-10
T;5;15;T-5-15
T;5;20;T-5-20
T;5;25;T-5-25
T;5;30;T-5-30
T;6;0;T-6-0
T;6;5;T-6-5
T;6;10;T-6-10
T;6;15;T-6-15
T;6;20;T-6-20
T;6;25;T-6-25
T;6;30;T-6-30
