hash;group;sensor;time;y_eval;minimized_freq_mean;minimized_freq_std;minimized_freq_std_err;freq_with_unc
C-1-0;C;1;0;0.48184394339421655;0.4391186366684549;1.895933975611367e-05;5.995469656230047e-07;439119+/-19
C-1-5;C;1;5;0.48208706373851523;0.43911421875000006;5.551115123125783e-17;1.7554167342883504e-18;439114.21875000006+/-0.00000000006
C-1-10;C;1;10;0.48252829118645557;0.4391155962591241;1.0782714090785246e-05;3.4097935885272985e-07;439116+/-11
C-1-15;C;1;15;0.4827403544607773;0.4391150585664337;8.446017511214152e-06;2.6708652493103446e-07;439115+/-8
C-1-20;C;1;20;0.4825317048983586;0.4391067607003891;3.6883538184938576e-05;1.1663598883019865e-06;(4.3911+/-0.0004)e+05
C-1-25;C;1;25;0.48249018739277827;0.4391142187500001;1.1102230246251565e-16;3.510833468576701e-18;439114.21875000012+/-0.00000000011
C-1-30;C;1;30;0.48234120091692767;0.43911421875000006;5.551115123125783e-17;1.7554167342883504e-18;439114.21875000006+/-0.00000000006
C-15-0;C;15;0;0.5003703073416309;0.4394886781029263;1.5397710911921625e-05;4.869183723450064e-07;439489+/-15
C-15-5;C;15;5;0.5012490355621599;0.4394839906408629;1.2396583939336543e-05;3.9201440453766074e-07;439484+/-12
C-15-10;C;15;10;0.5012276794276861;0.43947969921306396;2.2087254427205104e-05;6.984603124960584e-07;439480+/-22
C-15-15;C;15;15;0.501276152104881;0.4394433242347591;3.263877876231013e-05;1.032128809352315e-06;439443+/-33
C-15-20;C;15;20;0.5011991006766641;0.43946719892393865;3.537424590806616e-05;1.1186318758038032e-06;439467+/-35
C-15-25;C;15;25;0.5009220323193195;0.43945138000408496;4.206593856139759e-05;1.3302417776672318e-06;(4.3945+/-0.0004)e+05
C-15-30;C;15;30;0.5010932386020254;0.43946407350896166;3.732819325121286e-05;1.180421116127585e-06;(4.3946+/-0.0004)e+05
C-2-0;C;2;0;0.5223222346072015;0.44068944143167027;4.162737027081038e-05;1.31637303058941e-06;(4.4069+/-0.0004)e+05
C-2-5;C;2;5;0.5221216504377848;0.44067382492382007;3.411814773669527e-05;1.078910563940758e-06;440674+/-34
C-2-10;C;2;10;0.5222704993469257;0.44065845285207417;4.199817173489902e-05;1.3280988024518624e-06;(4.4066+/-0.0004)e+05
C-2-15;C;2;15;0.5228608588746321;0.4406419307676848;5.493778522971763e-05;1.7372853093106443e-06;(4.4064+/-0.0005)e+05
C-2-20;C;2;20;0.5230594941616133;0.44062414405792266;3.120113907969717e-05;9.866666508353294e-07;440624+/-31
C-2-25;C;2;25;0.5229231555645462;0.4406488053013394;4.288503035318475e-05;1.35614373441519e-06;(4.4065+/-0.0004)e+05
C-2-30;C;2;30;0.5234811895142581;0.4406179600742885;4.6885501608051945e-05;1.482649743209313e-06;(4.4062+/-0.0005)e+05
T-4-0;T;4;0;0.4834204696279758;0.44025047528294403;4.2331278393921304e-05;1.3386325599146573e-06;(4.4025+/-0.0004)e+05
T-4-5;T;4;5;0.48530862610383085;0.4401232634979529;2.6627991247200862e-05;8.420510185618243e-07;440123+/-27
T-4-10;T;4;10;0.48535794837594215;0.44013162955951357;3.469493215630671e-05;1.0971500887894625e-06;440132+/-35
T-4-15;T;4;15;0.48572015185220074;0.44011402343750006;1.1102230246251565e-16;3.510833468576701e-18;440114.02343750006+/-0.00000000011
T-4-20;T;4;20;0.4857533417663137;0.44011531956658284;1.04764866489574e-05;3.312955968705027e-07;440115+/-10
T-4-25;T;4;25;0.4868158809060873;0.44003862650829567;4.2748782597218134e-05;1.351835202065777e-06;(4.4004+/-0.0004)e+05
T-4-30;T;4;30;0.48661527519136766;0.44000016751949333;3.790533427414227e-06;1.198671917763349e-07;440000+/-4
T-5-0;T;5;0;0.492474339699469;0.4398283788629434;4.04022291823917e-05;1.2776306676448026e-06;(4.3983+/-0.0004)e+05
T-5-5;T;5;5;0.492441995620595;0.4398294337303321;4.076722904568274e-05;1.2891729767813001e-06;(4.3983+/-0.0004)e+05
T-5-10;T;5;10;0.49297289014673606;0.43979594035311487;1.822735832198003e-05;5.763996802548165e-07;439796+/-18
T-5-15;T;5;15;0.4929674737124069;0.4397855254014157;3.215324863294651e-05;1.0167749985380623e-06;439786+/-32
T-5-20;T;5;20;0.49289244935831045;0.43979578042763157;1.8564748379476503e-05;5.870688906706567e-07;439796+/-19
T-5-25;T;5;25;0.4929265840181478;0.4397995967209506;5.8718315898362676e-06;1.8568361860810208e-07;439800+/-6
T-5-30;T;5;30;0.4931961525107591;0.4397141015625001;1.6653345369377348e-16;5.266250202865052e-18;439714.10156250012+/-0.00000000017
T-6-0;T;6;0;0.49490870000978604;0.4406140025794826;3.176342817461471e-05;1.0044477932694699e-06;440614+/-32
T-6-5;T;6;5;0.49540284979138954;0.4405978486328125;1.3435283779758028e-05;4.2486097754751395e-07;440598+/-13
T-6-10;T;6;10;0.49562783896355345;0.440571602912486;4.046366163173924e-05;1.2795733322666138e-06;(4.4057+/-0.0004)e+05
T-6-15;T;6;15;0.4957761737088668;0.44051584421232437;1.2641337367758709e-05;3.9975418752715107e-07;440516+/-13
T-6-20;T;6;20;0.4958735754773955;0.4405142455032703;5.073727272346523e-06;1.6044534407128455e-07;440514+/-5
T-6-25;T;6;25;0.4962612649656299;0.4405042959591614;2.715257015948722e-05;8.586396603150101e-07;440504+/-27
T-6-30;T;6;30;0.4963380883528668;0.44051026382854264;1.741423634121025e-05;5.506865055070151e-07;440510+/-17
